1,1,117.43,322.8,141.70999999999998,75.13999999999999,1,1,1.0
1,2,725.05,262.68,83.74000000000001,46.15999999999997,1,1,1.0
1,3,205.18,244.95,103.02999999999997,48.52000000000004,1,1,1.0
2,1,102.4,323.87,141.71,75.14999999999998,1,1,1.0
2,2,716.1,263.13,78.39999999999998,46.160000000000025,1,1,1.0
2,3,205.18,245.2,103.02999999999997,48.27000000000004,1,1,1.0
3,1,71.27,331.39,141.70999999999998,75.13999999999999,1,1,1.0
3,2,705.36,265.81,78.39999999999998,46.160000000000025,1,1,1.0
3,3,205.18,245.44,103.02999999999997,48.03000000000003,1,1,1.0
4,1,47.65,332.46,141.71,75.15000000000003,1,1,1.0
4,2,689.7,269.39,78.39999999999998,46.160000000000025,1,1,1.0
4,3,205.18,245.69,103.02999999999997,47.78000000000003,1,1,1.0
5,1,26.18,336.75,141.70999999999998,75.14999999999998,1,1,1.0
5,2,673.59,269.39,82.86000000000001,46.160000000000025,1,1,1.0
5,3,205.18,245.93,103.02999999999997,47.54000000000002,1,1,1.0
6,1,1.49,344.27,141.70999999999998,75.15000000000003,1,1,1.0
6,2,665.09,273.42,82.86000000000001,46.15999999999997,1,1,1.0
6,3,205.18,246.18,103.02999999999997,47.29000000000002,1,1,1.0
7,1,0.42,346.42,126.67999999999999,75.13999999999999,1,1,1.0
7,2,645.85,275.21,82.86000000000001,46.160000000000025,1,1,1.0
7,3,205.18,246.43,103.02999999999997,47.04000000000002,1,1,1.0
8,1,0.42,346.42,105.17999999999999,75.13999999999999,1,1,1.0
8,2,633.32,277.0,82.8599999999999,46.160000000000025,1,1,1.0
8,3,205.18,246.67,103.02999999999997,46.80000000000004,1,1,1.0
9,1,0.42,346.42,82.67999999999999,75.13999999999999,1,1,1.0
9,2,618.11,281.47,82.85000000000002,46.15999999999997,1,1,1.0
9,3,205.18,246.92,103.02999999999997,46.55000000000004,1,1,1.0
10,1,0.42,346.42,56.879999999999995,75.13999999999999,1,1,1.0
10,2,606.13,282.07,82.85000000000002,46.160000000000025,1,1,1.0
10,3,205.18,247.16,103.02999999999997,46.31000000000003,1,1,1.0
11,1,0.42,346.42,35.379999999999995,75.13999999999999,1,1,1.0
11,2,591.69,284.48,82.8599999999999,46.15999999999997,1,1,1.0
11,3,205.18,247.41,103.02999999999997,46.06000000000003,1,1,1.0
12,2,580.47,286.88,82.85000000000002,46.160000000000025,1,1,1.0
